,commit_id,owner,repo,source,CVE_ID,CWE_ID,category
0,540958e2f5a87b81aa5f55ce40b3e2869754f97d,stoth68000,media-tree,wild,NA,NA,non-security
1,64d240b721b21e266ffde645ec965c3b6d1c551f,stoth68000,media-tree,wild,NA,NA,non-security
2,f181dd278274f50e689ebd13237010a90b430164,openbsd,src,wild,NA,NA,non-security
3,0abdc3723b5d33dde698ab941325edec2819c128,openbsd,src,wild,NA,NA,non-security
4,d7930d7f820e5dd6b07b823f155aeb943b525e16,esl,MongooseIM,wild,NA,NA,non-security
5,570597952c2f88cfaaee92a7c0a852ef9924ca5c,wireshark,wireshark,wild,NA,NA,non-security
6,43a032f0361f3d84e55f46afde61b09416b71889,ClusterLabs,pacemaker,wild,NA,NA,non-security
7,88674088d10ca2538b2efd2559f6620ade8ec373,torvalds,linux,wild,NA,NA,non-security
8,75ab96d22aaa31f999b3a58d521b9fc26a92b24f,openbsd,src,wild,NA,NA,non-security
9,8ab0b9cabacad57cad7c26144baa544fab9c2ba7,FFmpeg,FFmpeg,wild,NA,NA,non-security
10,b5ca4de5252e412129702c32f9a8ae921123aaa1,php,php-src,wild,NA,NA,non-security
11,b8ba3203e59ffe063ceb24c0ab916208ef0e88c0,php,php-src,wild,NA,NA,non-security
12,665c7741fb63c7ceeb515f1d1ed8b016efe65bf3,stoth68000,media-tree,wild,NA,NA,non-security
13,fc4fc1286709575df822a0b7053bde3c22922756,GStreamer,gst-plugins-ugly,wild,NA,NA,non-security
14,dd166aa8e52dba39a3087b8012113af331d3110b,git,git,wild,NA,NA,non-security
15,b01280bda48225a17023f3defae107e0e7b51e56,dovecot,core,wild,NA,NA,non-security
16,b50fea4d490278b291321e6b96c49cf20bee1552,nodejs,node,wild,NA,NA,non-security
17,c751a74afe07b82dbb968abd1eb45cd5163bd9f5,bonzini,qemu,wild,NA,NA,non-security
18,8204bd384660b035bf0077f45b6b9635e5cd1c19,stoth68000,media-tree,wild,NA,NA,non-security
19,073c9305ed0eff74c06ed8fd1b950fd47828d1e5,krb5,krb5,wild,NA,NA,non-security
20,6e9778c88af6a290e81bcfda12d6d45c92b931b5,collectd,collectd,wild,NA,NA,non-security
21,f3c0ce86a8da6a43c3551a2223abd42040316dd8,stoth68000,media-tree,wild,NA,NA,non-security
22,5971fb2a70daf739dc73fe7d3525295011625cd9,libguestfs,libguestfs,wild,NA,NA,non-security
23,dd64326e8988a003f15557bbd304cc69cc84bc5f,vrtadmin,clamav-devel,wild,NA,NA,non-security
24,8b7342d673d31e7aa60baae35321c11532275cdb,stoth68000,media-tree,wild,NA,NA,non-security
25,a313249937820f8b1996133fc285efbd6aad2c5b,torvalds,linux,wild,NA,NA,non-security
26,2c9d97545914cc764786702f361a1f1c9bb8dfa9,mjg59,linux,wild,NA,NA,non-security
27,b0ec910a9f5799aa5983ea7e33ff75bd4ddb3120,ClusterLabs,pacemaker,wild,NA,NA,non-security
28,2c3634a8d4c66f743d11dab03d0e66d77b6aac05,stoth68000,media-tree,wild,NA,NA,non-security
29,179d03bbfd2ebc63934753a696467d28bf9f5b64,mjg59,linux,wild,NA,NA,non-security
30,c6bc209e5093676c4e5cc33c01c599e373da427c,php,php-src,wild,NA,NA,non-security
31,afca1ce2cee69c939f98b386f4470bfd1d87e826,openbsd,src,wild,NA,NA,non-security
32,7f7932ab25f2ddd6080c8b1e8bfd698e523eb7d4,git,git,wild,NA,NA,non-security
33,17a1dc5e22d25ba374d8c8dd8d5bf10bd20d3265,torvalds,linux,wild,NA,NA,non-security
34,ac9b51278996b864d0a2f7d61a827f89cbd4ff23,libgit2,libgit2,wild,NA,NA,non-security
35,3b28499c5519e59fbe9c2dea49ece5a3665be787,stoth68000,media-tree,wild,NA,NA,non-security
36,7b971df185807ceb358471e16ce8754ccfcc7de9,stoth68000,media-tree,wild,NA,NA,non-security
37,acb74236ac9e48ccc653207a22428d3811b0a2cd,mpv-player,mpv,wild,NA,NA,non-security
38,56b7cf9581fa0486657102a6fb8efabc3eadeba1,stoth68000,media-tree,wild,NA,NA,non-security
39,6fd546dd9680fff2c442075e511875acbd18b486,bitcoin,bitcoin,wild,NA,NA,non-security
40,36f86f73f68548f46eb3229c8adf583d59fa9988,FransUrbo,zfs,wild,NA,NA,non-security
41,7493db2338a669261ed82cce834446b4c3b08bd5,bagder,curl,wild,NA,NA,non-security
42,35ff69357949cfff5c3d8e3038b77146872e3bd3,mjg59,linux,wild,NA,NA,non-security
43,3496cec43304ac040d6d05f9d500a6f93cc049e7,libav,libav,wild,NA,NA,non-security
44,a87cb2d1c1242b849e9ce84bd19b8501d14154dd,mm2,Little-CMS,wild,NA,NA,non-security
45,382fd7becc409be9cc18dea8e3d53f6d184f9a5c,torvalds,linux,wild,NA,NA,non-security
46,818891bfb9a49e95157af098a7b14fa8c205b1ca,adaptivecomputing,torque,wild,NA,NA,non-security
47,0ba554e45c674181a3e5c42c7a6cccbbc75a0dd7,torvalds,linux,wild,NA,NA,non-security
48,a5b7151504de553b086f76082e348fdb8474ba12,torvalds,linux,wild,NA,NA,non-security
49,ba992b122eec30c5022d4c3e77af4e2f6eb0752a,kamailio,kamailio,wild,NA,NA,non-security
50,32f6afd82c1c4e9415db9f8d18e3fd6fc65cfd46,stoth68000,media-tree,wild,NA,NA,non-security
51,166fae499b8c2c347337a348f0a38d1d0a0b4a7c,illumos,illumos-gate,wild,NA,NA,non-security
52,db99b5fc77e6cec47d80703b471f1efe04527d2f,mjg59,linux,wild,NA,NA,non-security
53,406478d22432ce0b02270a766d0c8e46372f3544,charybdis-ircd,charybdis,wild,NA,NA,non-security
54,f2feb96bc3d18e50cab7de9eab142f99d91aa5f6,torvalds,linux,wild,NA,NA,non-security
55,1927fb2efcecf445aadc3e2be51290f250554576,GNOME,pango,wild,NA,NA,non-security
56,8dc58101f2c838355d44402aa77646649d10dbec,torvalds,linux,wild,NA,NA,non-security
57,df8a3e5591948dfd94de2e06640cfe54d2de4322,ceph,ceph,wild,NA,NA,non-security
58,37ef2a3029fde884808ff1b369677abc7dd9a79a,stoth68000,media-tree,wild,NA,NA,non-security
59,529fa5473123a9e81e711a92e46fba732c4264ed,torvalds,linux,wild,NA,NA,non-security
60,3831814acd6dfad819609836790f7c9bea620dc4,luke-jr,bfgminer,wild,NA,NA,non-security
61,962bc51b04b2725639c47c49404943516ac32b11,torvalds,linux,wild,NA,NA,non-security
62,6b9018d4c1e5c958625be94a160a5984351d4632,stoth68000,media-tree,wild,NA,NA,non-security
63,4d4f7158eee5c515f624123a43073dbef2326001,FFmpeg,FFmpeg,wild,NA,NA,non-security
64,3c604de496d7568b3fddb9f2531630aa89908186,torvalds,linux,wild,NA,NA,non-security
65,4ba1a9ff5955df443a0ed6c956501f796a18abfa,mjg59,linux,wild,NA,NA,non-security
66,29c1f677d424e8c5683a837fc4f03fc9f19201d7,stoth68000,media-tree,wild,NA,NA,non-security
67,bfbd80adfff345488ae46044947afd74babedcee,cyrusimap,cyrus-imapd,wild,NA,NA,non-security
68,e3ef84c59bf669a7dfc717af26ed1872bab397c9,php,php-src,wild,NA,NA,non-security
69,9b5254b4604d358e64d1798544e242f67a81c106,mjg59,linux,wild,NA,NA,non-security
70,37097c8cda6e3b119e06085deb00d1a933aaaf51,rawstudio,rawstudio,wild,NA,NA,non-security
71,72223b138812dab1a1effa6a125313ca0f226beb,MariaDB,server,wild,NA,NA,non-security
72,65fc288859717a06975b8ecc658aae4c3979966c,acpica,acpica,wild,NA,NA,non-security
73,23f3f92361a3db53e595de33cfd5440f53bee220,FFmpeg,FFmpeg,wild,NA,NA,non-security
74,c13fada888d290a940953cf37ccd82a69df48783,openbsd,src,wild,NA,NA,non-security
75,b9c43856f21d97ffdfdd642acf2eb0b52d3b1555,stoth68000,media-tree,wild,NA,NA,non-security
76,a69d82b9bdf1e53e94423048e8bda8c5f5a3dd4e,torvalds,linux,wild,NA,NA,non-security
77,fc8ed1117e1cfa5efff6a1a3263b52ec3e92c98c,FFmpeg,FFmpeg,wild,NA,NA,non-security
78,3d4b849ef7aa1245838268dacdfa1ebd44194742,openbsd,src,wild,NA,NA,non-security
79,cefb07dc5e587c4e44fba1798f200ae09e93eb62,Cisco-Talos,clamav-devel,wild,NA,NA,non-security
80,420150d9dcc40733a2df851023a331ccfdcee3e3,ceph,ceph,wild,NA,NA,non-security
81,daef1f35ea1e2cca125eecd5f078f40b55eb9105,mjg59,linux,wild,NA,NA,non-security
